asset_id,asset_type,file_path,duration,description,priority,notes
bgm_cafe_main,music,/assets/audio/bgm_cafe_main.mp3,3:00-4:00,"Main cafe ambience music",High,"Cozy, warm, seamless looping"
bgm_romance,music,/assets/audio/bgm_romance.mp3,2:30-3:00,"Romantic scene music",Medium,"Soft, emotional, loop points"
bgm_gacha,music,/assets/audio/bgm_gacha.mp3,1:30-2:00,"Gacha pulling music",Medium,"Exciting, anticipatory, builds up"
sfx_coin_collect,sfx,/assets/audio/sfx_coin_collect.mp3,0:01,"Collecting coins sound",High,"Satisfying ding"
sfx_shift_complete,sfx,/assets/audio/sfx_shift_complete.mp3,0:02-0:03,"Shift completion fanfare",High,"Achievement sound"
sfx_gacha_pull,sfx,/assets/audio/sfx_gacha_pull.mp3,0:03-0:05,"Gacha machine spinning",High,"Mechanical whirring"
sfx_gacha_reveal_common,sfx,/assets/audio/sfx_gacha_reveal_common.mp3,0:02,"Common pet reveal",High,"Pleasant chime"
sfx_gacha_reveal_rare,sfx,/assets/audio/sfx_gacha_reveal_rare.mp3,0:03,"Rare pet reveal",Medium,"More exciting"
sfx_gacha_reveal_ultra,sfx,/assets/audio/sfx_gacha_reveal_ultra.mp3,0:05,"Ultra rare pet reveal",Low,"Epic fanfare"
sfx_pet_happy,sfx,/assets/audio/sfx_pet_happy.mp3,0:01,"Generic pet happiness",High,"Cute sound"
sfx_dog_bark,sfx,/assets/audio/sfx_dog_bark.mp3,0:01,"Dog pet sounds",Medium,"Friendly bark"
sfx_cat_meow,sfx,/assets/audio/sfx_cat_meow.mp3,0:01,"Cat pet sounds",Medium,"Soft meow"
sfx_bird_chirp,sfx,/assets/audio/sfx_bird_chirp.mp3,0:01,"Bird pet sounds",Medium,"Pleasant chirp"
sfx_button_click,sfx,/assets/audio/sfx_button_click.mp3,0:00.5,"UI button press",High,"Soft click"
sfx_menu_open,sfx,/assets/audio/sfx_menu_open.mp3,0:01,"Menu opening sound",Medium,"Swoosh"
sfx_menu_close,sfx,/assets/audio/sfx_menu_close.mp3,0:01,"Menu closing sound",Medium,"Reverse swoosh"
sfx_notification,sfx,/assets/audio/sfx_notification.mp3,0:01,"New notification alert",High,"Gentle ping"
sfx_blog_post,sfx,/assets/audio/sfx_blog_post.mp3,0:01,"Publishing blog post",Medium,"Camera shutter"
sfx_bond_increase,sfx,/assets/audio/sfx_bond_increase.mp3,0:02,"NPC bond level up",Medium,"Heart/sparkle sound"
sfx_dm_receive,sfx,/assets/audio/sfx_dm_receive.mp3,0:01,"New DM message",Medium,"Message ping"
sfx_dm_send,sfx,/assets/audio/sfx_dm_send.mp3,0:00.5,"Sending DM message",Medium,"Whoosh"
sfx_call_ring,sfx,/assets/audio/sfx_call_ring.mp3,0:03,"Incoming voice call",Low,"Phone ring"
sfx_call_connect,sfx,/assets/audio/sfx_call_connect.mp3,0:01,"Call connected",Low,"Connection sound"
amb_cafe,ambience,/assets/audio/amb_cafe.mp3,2:00-3:00,"Cafe background noise",Low,"Cups, chatter, looping"
amb_bakery,ambience,/assets/audio/amb_bakery.mp3,2:00-3:00,"Bakery specific sounds",Low,"Oven, mixing, looping"
amb_playground,ambience,/assets/audio/amb_playground.mp3,2:00-3:00,"Playground sounds",Low,"Pets playing, looping"
amb_styling,ambience,/assets/audio/amb_styling.mp3,2:00-3:00,"Salon sounds",Low,"Grooming, water, looping"
